ISS (ZARYA);25544;STATION;1
HST;20580;TELESCOPE;1
INTEGRAL;27540;TELESCOPE;1
SWIFT;28485;TELESCOPE;1
AGILE;31135;TELESCOPE;1
GLAST;33053;TELESCOPE;1
TIANGONG 1;37820;STATION;1
TIANGONG-2;41765;STATION;1
GALILEO 9;40889;GPS;1
GALILEO 10;40890;GPS;1
GALILEO 11;41175;GPS;1
GALILEO 12;41174;GPS;1
GALILEO 13;41550;GPS;1
GALILEO 14;41549;GPS;1
GALILEO 15;41859;GPS;1
GALILEO 16;41860;GPS;1
GALILEO 17;41861;GPS;1
GALILEO 18;41862;GPS;1
METEOSAT 6 AKM;23118;GPS;1
ANIK F2;28378;GPS;1
